comparison,arm,source,target,compared_records,source_supported_target_supported,source_supported_target_non_supported,source_non_supported_target_supported,source_non_supported_target_non_supported,binary_agreement_count,binary_agreement_proportion,supported_to_non_supported,non_supported_to_supported,boundary_crossing_total,supported_net_change,strict_support_rate_net_effect_percentage_points
controls60_original_abd_vs_correction,A,original_abd_label,correction_label,16,1,1,0,14,15,0.9375,1,0,1,-1,-0.3333333333333333
controls60_original_abd_vs_correction,B,original_abd_label,correction_label,13,0,1,0,12,12,0.9230769230769231,1,0,1,-1,-0.3333333333333333
controls60_original_abd_vs_correction,D,original_abd_label,correction_label,31,2,6,4,19,21,0.6774193548387096,6,4,10,-2,-0.6666666666666666
disagreements31_original_abd_vs_sol,A,original_abd_label,independent_sol_label,6,1,0,1,4,5,0.8333333333333334,0,1,1,1,0.3333333333333333
disagreements31_original_abd_vs_sol,B,original_abd_label,independent_sol_label,8,0,1,0,7,7,0.875,1,0,1,-1,-0.3333333333333333
disagreements31_original_abd_vs_sol,D,original_abd_label,independent_sol_label,17,0,6,3,8,8,0.47058823529411764,6,3,9,-3,-1.0
disagreements31_correction_vs_sol,A,correction_label,independent_sol_label,6,0,0,2,4,4,0.6666666666666666,0,2,2,2,0.6666666666666666
disagreements31_correction_vs_sol,B,correction_label,independent_sol_label,8,0,0,0,8,8,1.0,0,0,0,0,0.0
disagreements31_correction_vs_sol,D,correction_label,independent_sol_label,17,2,2,1,12,14,0.8235294117647058,2,1,3,-1,-0.3333333333333333
