comparison,source,target,compared_records,source_supported_target_supported,source_supported_target_non_supported,source_non_supported_target_supported,source_non_supported_target_non_supported,binary_agreement_count,binary_agreement_proportion,supported_to_non_supported,non_supported_to_supported,boundary_crossing_total,supported_net_change,strict_support_rate_net_effect_percentage_points
controls60_original_abd_vs_correction,original_abd_label,correction_label,60,3,8,4,45,48,0.8,8,4,12,-4,-1.3333333333333333
disagreements31_original_abd_vs_sol,original_abd_label,independent_sol_label,31,1,7,4,19,20,0.6451612903225806,7,4,11,-3,-1.0
disagreements31_correction_vs_sol,correction_label,independent_sol_label,31,2,2,3,24,26,0.8387096774193549,2,3,5,1,0.3333333333333333
