method,audit_version,source_file,denominator,correct,accuracy,supported,partially_supported,unsupported,contradicted,unreviewable,no_final_answer,strict_supported_rate,correct_unsupported_or_contradicted,correct_unsupported_or_contradicted_share_of_correct
R1,codex_evidence_audit_r1_r3_gens_v3_v1,audit/codex_evidence_audit_r1_r3_gens_v3_v1/evidence_score_cross_stats.json,300,88,0.29333333333333333,67,133,69,28,3,0,0.22333333333333333,15,0.17045454545454544
R3,codex_evidence_audit_r1_r3_gens_v3_v1,audit/codex_evidence_audit_r1_r3_gens_v3_v1/evidence_score_cross_stats.json,300,103,0.3433333333333333,78,127,48,42,3,2,0.26,24,0.23300970873786409
GENS,codex_evidence_audit_r1_r3_gens_v3_v1,audit/codex_evidence_audit_r1_r3_gens_v3_v1/evidence_score_cross_stats.json,300,93,0.31,36,90,156,12,6,0,0.12,48,0.5161290322580645
A,abd_eval300_evidence_audit_final_v1,outputs/abd_eval300_evidence_audit_final_v1/label_freeze.json,300,98,0.32666666666666666,49,102,112,37,0,0,0.16333333333333333,42,0.42857142857142855
B,abd_eval300_evidence_audit_final_v1,outputs/abd_eval300_evidence_audit_final_v1/label_freeze.json,300,103,0.3433333333333333,79,126,73,22,0,0,0.2633333333333333,23,0.22330097087378642
D,abd_eval300_evidence_audit_final_v1,outputs/abd_eval300_evidence_audit_final_v1/label_freeze.json,300,103,0.3433333333333333,92,139,35,34,0,0,0.30666666666666664,19,0.18446601941747573
