representation,model,dimension,compute_dtype,stored_dtype,generation_wall_time_sec,frames_per_second,peak_gpu_allocated_bytes,artifact_size_bytes,artifact_bytes_per_frame,raw_embedding_bytes_per_frame
DINOv2-small CLS,facebook/dinov2-small,384,torch.float32,float32,250.42248807198484,6.4371215716722086,292911616,2300095,1426.8579404466502,1536.0
C-RADIOv4 siglip2-g summary,nvidia/C-RADIOv4-SO400M,1536,bfloat16 (CUDA autocast),float16,50.58895688800112,31.864661759458816,4992640000,4540678,2816.7977667493797,3072
