example_type,timestamp_sec,source_representation,source_smoothed_change_strength,nearest_dinov2_boundary_distance_sec,nearest_cradio_boundary_distance_sec,contact_sheet_path
strongest_dinov2_boundary,1094.0,dinov2,0.6666534042994261,0.0,1.0,/cs/student/project_msc/2025/rai/xinanx01/msc_thesis/main_system/thesis-av-evidence/outputs/diagnostics/cradio_v4/dino_comparison/qualitative_boundaries/01_strongest_dinov2_boundary_01094s.jpg
strongest_cradio_boundary,1345.0,cradio,0.10618816933509179,0.0,0.0,/cs/student/project_msc/2025/rai/xinanx01/msc_thesis/main_system/thesis-av-evidence/outputs/diagnostics/cradio_v4/dino_comparison/qualitative_boundaries/02_strongest_cradio_boundary_01345s.jpg
strong_dinov2_only_boundary_gt5s,369.0,dinov2,0.30864417519210974,0.0,7.0,/cs/student/project_msc/2025/rai/xinanx01/msc_thesis/main_system/thesis-av-evidence/outputs/diagnostics/cradio_v4/dino_comparison/qualitative_boundaries/03_strong_dinov2_only_boundary_gt5s_00369s.jpg
strong_cradio_only_boundary_gt5s,186.0,cradio,0.04233752316900241,6.0,0.0,/cs/student/project_msc/2025/rai/xinanx01/msc_thesis/main_system/thesis-av-evidence/outputs/diagnostics/cradio_v4/dino_comparison/qualitative_boundaries/04_strong_cradio_only_boundary_gt5s_00186s.jpg
