representation,n,min,q01,q05,q25,median,mean,q75,q95,q99,max,std,mad,iqr
DINOv2,1611,0.1680065393447876,0.3919276684522629,0.5663512945175171,0.7575075328350067,0.8241875171661377,0.7975812078558236,0.8732442259788513,0.9217398166656494,0.9389842689037323,0.9523207545280457,0.11181008307601685,0.05618119239807129,0.1157366931438446
C-RADIOv4,1611,0.8376162052154541,0.9099941253662109,0.9487625956535339,0.9760944545269012,0.9850257635116577,0.9796672941438165,0.9901211559772491,0.9942443072795868,0.995796012878418,0.9982532262802124,0.017588605151178827,0.006065964698791504,0.0140267014503479
