scope,fixed_question_denominator,correct,accuracy,successful_or_prediction_routes,failed_routes,completion_rate,logical_calls,physical_requests,validation_retry_requests,transport_retry_requests,image_transmissions,unique_images_total,unique_images_mean_per_question,ordinary_input_tokens,historical_unsplit_input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,api_usd,api_latency_sum_sec,api_latency_mean_sec,api_latency_median_sec,api_latency_p90_sec,route_wall_sum_sec,route_wall_mean_sec,route_wall_median_sec,route_wall_p90_sec,notes
Full Staged downstream (new Shared/Fine/Final),100,24,0.24,97,3,0.97,478,662,184,0,1424,1312,13.12,7621330,N/A,382270,209771,615100,11.195644599999998,6432.659605627996,64.32659605627995,40.77054297353607,135.7195062310202,6511.080710704089,65.1108071070409,41.12729264551308,136.90305929698516,Measured new downstream run; all timing distributions use all 100 routes.
Historical R3 Planner (selected same 100),100,N/A,N/A,100,0,N/A,100,100,N/A,N/A,0,0,0,N/A,2853515,N/A,N/A,89146,3.2992449999999987,1725.2579262178333,17.252579262178333,17.681761046638712,20.18573857011579,N/A,N/A,N/A,N/A,Historical map-only Planner stage; recorded usage-based estimate. Cache token classes and separate route wall were not retained for this selected subset.
Reconstructed complete Full Staged (Planner + downstream),100,24,0.24,97,3,0.97,578,762,184 downstream; historical Planner subtype N/A (0 total retries recorded),0 downstream; historical Planner subtype N/A (0 total retries recorded),1424,1312,13.12,N/A,2853515,382270 downstream known; Planner N/A,209771 downstream known; Planner N/A,704246,14.494889599999997,8157.917531845829,81.5791753184583,58.788449006369774,153.40265506645665,8236.338636921922,82.36338636921923,59.14519867834679,154.5509056746494,"Reconstructed across two historical runs; cost is additive, but latency/time is not one measured end-to-end wall clock."
R3 Direct-v1.2 (same frozen 100),100,32,0.32,99,1,0.99,487,487,N/A (different one-action controller; structural correction attempts=0),0,928,928,9.28,2118602,N/A,367819,14824626,48205,4.301863350000001,1043.2888071225898,10.432888071225898,9.181026964972261,15.505994991137415,1116.592902519944,11.16592902519944,9.795703318493906,16.8517216439097,Historical frozen Direct routes. Image count is recorded new unique image transport; repeated image blocks in later serialized conversation requests were not retained as a separate metric.
